nombre,ps4,ps5,secundario
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,,11.11,5.93
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Deluxe Edition,,,7.41
Demon's Souls,9.26,7.41,4.81
Detroit: Become Human,,,5.93
Devil May Cry 4 Special Edition,,10.74,5.93
Devil May Cry 5 + Vergil,8.89,8.89,5.56
Devil May Cry 5 Deluxe + Vergil,,5.93,5.19
Devil May Cry 5 Special Edition,,5.56,5.19
Devil May Cry HD Collection,,6.67,5.56
Devil May Cry HD Collection & 4SE Bundle,,7.41,5.93
Diablo III: Eternal Collection,,5.56,5
Diablo IV - Expansion Bundle,,6.67,5.19
Diablo IV - Standard Edition,9.63,7.41,5.93
Diablo Prime Evil Collection,29.63,29.63,
DiRT 5,14.07,14.07,8.89
DiRT Rally 2.0,10.37,10.37,
DiRT Rally 2.0 - Game of the Year Edition,7.41,,
Dmc Devil May Cry Definitive Edition,,5.93,5.56
DOOM Eternal Deluxe Edition,,7.41,5.93
DOOM Eternal Standard Edition,7.41,7.41,
DOOM: The Dark Ages,10,5.93,5.19
DRAGON BALL FighterZ,8.3,5.19,4.44
DRAGON BALL FighterZ - FighterZ Edition,,31.11,12.59
DRAGON BALL XENOVERSE,7.41,5.93,4.81
DRAGON BALL XENOVERSE 2,,8.89,5.93
DRAGON BALL XENOVERSE 2 Deluxe Edition,7.04,6.3,5.19
DRAGON BALL XENOVERSE 2 Special Edition,9.26,6.67,5.93
DRAGON BALL Z: KAKAROT,,9.26,5.93
DRAGON BALL Z: KAKAROT Deluxe Edition,11.11,9.63,5.93
DRAGON BALL: Sparking! ZERO,9.26,5.93,5.93
Dragon's Dogma: Dark Arisen,13.33,7.41,6.67
Dying Light - Enhanced Edition,,31.85,10.74
Dying Light 2 Stay Human,,5.56,5.19
Dying Light Definitive Edition,9.26,5.19,5.19
Dying Light: The Following - Enhanced Edition,12.96,11.11,5.93
EA Sports FC 25,9.26,5.19,5.19
EA Sports FC 25 Ultimate Edition,7.41,5.19,4.44
EA Sports WRC,,11.11,8.89
EA STAR WARS TRIPLE BUNDLE,,,10.37
ELDEN RING,,,5.93
Evil West,5.56,5.56,3.7
F1 23,14.81,18.52,10
F1 24,,,
F1 24 Champions Edition,11.11,7.41,5.93
